date,open,high,low,close,volume
1987-01-02,0.168,0.169,0.165,0.166,12643200
1987-01-05,0.166,0.177,0.165,0.175,48499200
1987-01-06,0.175,0.179,0.174,0.178,40032000
1987-01-07,0.178,0.188,0.178,0.188,60998400
1987-01-08,0.188,0.195,0.188,0.194,61488000
1987-01-09,0.194,0.202,0.193,0.201,63705600
1987-01-12,0.201,0.216,0.2,0.214,128793600
1987-01-13,0.213,0.213,0.205,0.208,76320000
1987-01-14,0.208,0.209,0.204,0.208,69465600
1987-01-15,0.208,0.225,0.208,0.22,117014400
1987-01-16,0.22,0.22,0.21,0.214,65433600
1987-01-19,0.214,0.222,0.21,0.222,88243200
1987-01-20,0.222,0.231,0.221,0.226,95760000
1987-01-21,0.226,0.241,0.221,0.235,108489600
1987-01-22,0.235,0.26,0.228,0.259,116035200
1987-01-23,0.259,0.269,0.234,0.234,317894400
1987-01-26,0.236,0.241,0.228,0.239,116553600
1987-01-27,0.239,0.252,0.239,0.248,114105600
1987-01-28,0.248,0.253,0.241,0.249,76723200
1987-01-29,0.249,0.252,0.234,0.239,79228800
1987-01-30,0.239,0.254,0.235,0.254,104169600
1987-02-02,0.254,0.259,0.253,0.253,46915200
1987-02-03,0.253,0.256,0.245,0.249,59328000
1987-02-04,0.249,0.251,0.247,0.25,31737600
1987-02-05,0.25,0.252,0.246,0.248,42652800
1987-02-06,0.248,0.25,0.238,0.239,45619200
1987-02-09,0.239,0.239,0.236,0.237,136080000
1987-02-10,0.237,0.238,0.232,0.238,44668800
1987-02-11,0.239,0.249,0.239,0.249,60307200
1987-02-12,0.249,0.268,0.249,0.266,185731200
1987-02-13,0.266,0.27,0.258,0.264,81763200
1987-02-17,0.264,0.266,0.258,0.266,70732800
1987-02-18,0.266,0.27,0.248,0.249,128592000
1987-02-19,0.248,0.248,0.236,0.239,317750400
1987-02-20,0.239,0.239,0.233,0.236,87897600
1987-02-23,0.236,0.254,0.231,0.251,125913600
1987-02-24,0.251,0.264,0.251,0.263,120816000
1987-02-25,0.263,0.268,0.257,0.259,65001600
1987-02-26,0.259,0.276,0.253,0.268,145209600
1987-02-27,0.268,0.27,0.262,0.266,37555200
1987-03-02,0.266,0.266,0.257,0.259,79516800
1987-03-03,0.259,0.261,0.255,0.259,81100800
1987-03-04,0.259,0.278,0.258,0.277,98179200
1987-03-05,0.277,0.296,0.277,0.29,128188800
1987-03-06,0.29,0.292,0.282,0.289,63561600
1987-03-09,0.289,0.29,0.282,0.284,38275200
1987-03-10,0.284,0.296,0.283,0.293,74102400
1987-03-11,0.297,0.299,0.293,0.297,43862400
1987-03-12,0.297,0.3,0.29,0.298,71337600
1987-03-13,0.298,0.3,0.281,0.287,105120000
1987-03-16,0.286,0.286,0.277,0.286,88473600
1987-03-17,0.286,0.297,0.285,0.295,54547200
1987-03-18,0.297,0.313,0.297,0.311,119347200
1987-03-19,0.311,0.317,0.306,0.317,62812800
1987-03-20,0.317,0.317,0.312,0.313,38246400
1987-03-23,0.313,0.318,0.308,0.311,67478400
1987-03-24,0.304,0.315,0.304,0.313,69609600
1987-03-25,0.313,0.315,0.31,0.312,33840000
1987-03-26,0.312,0.312,0.309,0.31,33379200
1987-03-27,0.312,0.326,0.312,0.319,120873600
1987-03-30,0.319,0.336,0.307,0.336,186134400
1987-03-31,0.332,0.344,0.332,0.336,125337600
1987-04-01,0.336,0.343,0.314,0.316,259430400
1987-04-02,0.321,0.337,0.321,0.33,159955200
1987-04-03,0.33,0.348,0.33,0.346,155606400
1987-04-06,0.346,0.347,0.339,0.345,98956800
1987-04-07,0.345,0.345,0.326,0.326,73728000
1987-04-08,0.326,0.339,0.326,0.336,106214400
1987-04-09,0.336,0.336,0.327,0.33,71568000
1987-04-10,0.33,0.332,0.329,0.332,43372800
1987-04-13,0.332,0.332,0.319,0.321,50256000
1987-04-14,0.321,0.332,0.316,0.326,87379200
1987-04-15,0.329,0.337,0.329,0.333,95961600
1987-04-16,0.333,0.349,0.332,0.342,188092800
1987-04-20,0.342,0.345,0.332,0.332,100310400
1987-04-21,0.332,0.34,0.326,0.338,113184000
1987-04-22,0.338,0.343,0.338,0.342,74678400
1987-04-23,0.342,0.345,0.337,0.342,48326400
1987-04-24,0.342,0.345,0.338,0.344,54172800
1987-04-27,0.344,0.346,0.338,0.344,53107200
1987-04-28,0.344,0.37,0.34,0.369,111081600
1987-04-29,0.369,0.378,0.359,0.359,85161600
1987-04-30,0.359,0.369,0.353,0.361,88041600
1987-05-01,0.361,0.365,0.357,0.365,37843200
1987-05-04,0.365,0.374,0.363,0.372,34531200
1987-05-05,0.372,0.402,0.372,0.402,110995200
1987-05-06,0.402,0.405,0.391,0.392,153504000
1987-05-07,0.392,0.411,0.39,0.411,289699200
1987-05-08,0.411,0.445,0.411,0.439,150048000
1987-05-11,0.439,0.439,0.427,0.427,127382400
1987-05-12,0.427,0.431,0.406,0.412,148464000
1987-05-13,0.415,0.424,0.415,0.423,73382400
1987-05-14,0.423,0.434,0.423,0.426,59961600
1987-05-15,0.425,0.425,0.414,0.414,84326400
1987-05-18,0.414,0.414,0.389,0.4,172598400
1987-05-19,0.4,0.4,0.386,0.386,78336000
1987-05-20,0.385,0.385,0.372,0.38,228355200
1987-05-21,0.381,0.391,0.381,0.387,93312000
