date,open,high,low,close,volume
2004-06-23,3.75,4.325,3.688,4.3,43574400
2004-06-24,4.387,4.423,4.125,4.19,8887200
2004-06-25,4.128,4.188,3.947,3.95,6710000
2004-06-28,4,4.052,3.86,4,2270800
2004-06-29,4,4.175,3.957,4.1,2112000
2004-06-30,4.1,4.235,4.008,4.017,2087600
2004-07-01,4.02,4.05,3.975,4.008,1754800
2004-07-02,4.025,4.245,4.012,4.245,993200
2004-07-06,4.233,4.25,4.12,4.25,1216800
2004-07-07,4.225,4.225,4.012,4.077,1787600
2004-07-08,4.077,4.077,3.915,3.935,2179200
2004-07-09,3.985,4.142,3.975,4.1,596800
2004-07-12,4.15,4.207,4.037,4.188,780800
2004-07-13,4.185,4.185,4.02,4.02,1674000
2004-07-14,4.012,4.012,3.895,3.912,2366000
2004-07-15,3.938,3.95,3.735,3.835,1806000
2004-07-16,3.85,4.1,3.74,4,3278800
2004-07-19,4.012,4.043,3.957,4.003,954800
2004-07-20,4.003,4.045,3.882,4.015,2245200
2004-07-21,4.025,4.025,2.763,2.925,25415200
2004-07-22,2.888,3.295,2.825,3.245,9824800
2004-07-23,3.237,3.375,3.188,3.26,1674400
2004-07-26,3.388,3.388,3.22,3.32,1286000
2004-07-27,3.345,3.358,3.275,3.285,751200
2004-07-28,3.263,3.305,3.15,3.247,1534800
2004-07-29,3.25,3.338,3.237,3.24,908000
2004-07-30,3.24,3.3,3.138,3.253,815200
2004-08-02,3.245,3.27,3.142,3.203,1297600
2004-08-03,3.2,3.273,2.997,3.033,2944400
2004-08-04,3.033,3.037,2.987,2.995,2746800
2004-08-05,2.997,2.997,2.67,2.725,3030400
2004-08-06,2.725,2.75,2.678,2.693,1797200
2004-08-09,2.737,2.763,2.715,2.747,1121600
2004-08-10,2.75,2.76,2.72,2.75,733200
2004-08-11,2.737,2.737,2.648,2.655,628400
2004-08-12,2.68,2.682,2.48,2.497,1578000
2004-08-13,2.497,2.513,2.368,2.398,2496000
2004-08-16,2.4,2.463,2.25,2.43,2171200
2004-08-17,2.47,2.747,2.47,2.743,2968000
2004-08-18,2.725,3.037,2.67,2.987,1697600
2004-08-19,2.987,3.062,2.925,3.043,1309600
2004-08-20,3.125,3.3,2.973,3.15,4034800
2004-08-23,3.175,3.237,3.09,3.125,1127600
2004-08-24,3.15,3.195,3.105,3.193,1072400
2004-08-25,3.2,3.263,3.125,3.24,1200800
2004-08-26,3.243,3.25,3.203,3.225,471200
2004-08-27,3.25,3.303,3.225,3.287,463600
2004-08-30,3.305,3.315,3.265,3.293,606000
2004-08-31,3.3,3.312,3.175,3.25,874400
2004-09-01,3.3,3.332,3.29,3.332,512800
2004-09-02,3.32,3.493,3.32,3.473,998800
2004-09-03,3.475,3.485,3.405,3.438,924000
2004-09-07,3.44,3.44,3.35,3.358,1192000
2004-09-08,3.332,3.332,3.287,3.31,550000
2004-09-09,3.31,3.325,3.243,3.293,2529200
2004-09-10,3.287,3.575,3.287,3.562,2795200
2004-09-13,3.6,3.875,3.6,3.8,4345200
2004-09-14,3.8,4.023,3.75,3.977,2052000
2004-09-15,3.98,4.285,3.925,4.085,4147200
2004-09-16,4.088,4.122,4.015,4.065,2518400
2004-09-17,4.05,4.052,3.71,3.918,4487600
2004-09-20,3.938,4.025,3.922,4.003,597200
2004-09-21,4.012,4.225,4.012,4.09,2327200
2004-09-22,4.075,4.075,3.953,4.017,2076800
2004-09-23,4.017,4.017,3.912,3.928,1117600
2004-09-24,3.99,4.213,3.95,4.01,2796000
2004-09-27,4,4.017,3.878,3.898,1380000
2004-09-28,3.88,3.885,3.693,3.75,1862800
2004-09-29,3.763,3.967,3.763,3.938,1700400
2004-09-30,3.938,3.977,3.905,3.908,4521200
2004-10-01,3.908,4.195,3.88,4.162,2613600
2004-10-04,4.287,4.46,4.14,4.218,3153200
2004-10-05,4.22,4.28,4.15,4.225,1360800
2004-10-06,4.225,4.312,4.122,4.312,1433600
2004-10-07,4.475,4.705,4.403,4.625,5887200
2004-10-08,4.615,4.615,4.367,4.405,2528400
2004-10-11,4.41,4.588,4.4,4.545,1064800
2004-10-12,4.5,4.597,4.418,4.597,897200
2004-10-13,4.65,4.807,4.602,4.625,1728000
2004-10-14,4.625,4.688,4.463,4.497,1047200
2004-10-15,4.515,4.56,4.4,4.495,946800
2004-10-18,4.475,4.575,4.412,4.573,692800
2004-10-19,4.588,4.61,4.53,4.557,622400
2004-10-20,4.532,4.565,4.475,4.537,760800
2004-10-21,4.543,4.67,4.51,4.6,721600
2004-10-22,4.625,4.645,4.312,4.35,1116800
2004-10-25,4.387,4.59,4.387,4.537,1056000
2004-10-26,4.525,4.613,4.448,4.613,476800
2004-10-27,4.625,4.898,4.537,4.818,1922800
2004-10-28,4.825,5.15,4.75,5.037,2500800
2004-10-29,5.025,5.08,4.852,5.08,1799600
2004-11-01,5.125,5.5,5.1,5.425,3213600
2004-11-02,5.625,5.625,5.443,5.49,3029600
2004-11-03,5.552,5.675,5.375,5.418,1917600
2004-11-04,5.4,5.432,5.125,5.145,1398400
2004-11-05,5.207,5.34,5.137,5.215,1574800
