date,open,high,low,close,volume
2002-01-02,0.56,0.57,0.546,0.561,1298904000
2002-01-03,0.562,0.6,0.562,0.598,1414752000
2002-01-04,0.605,0.605,0.57,0.58,936288000
2002-01-07,0.582,0.583,0.557,0.565,973068000
2002-01-08,0.563,0.585,0.562,0.571,774360000
2002-01-09,0.579,0.59,0.555,0.563,1141188000
2002-01-10,0.56,0.568,0.545,0.55,992508000
2002-01-11,0.554,0.554,0.523,0.526,1380852000
2002-01-14,0.524,0.528,0.498,0.498,1369560000
2002-01-15,0.519,0.545,0.518,0.544,1838808000
2002-01-16,0.537,0.541,0.521,0.523,1115388000
2002-01-17,0.541,0.542,0.521,0.542,1121544000
2002-01-18,0.521,0.535,0.521,0.532,803676000
2002-01-22,0.537,0.538,0.512,0.518,1085028000
2002-01-23,0.523,0.532,0.513,0.528,889164000
2002-01-24,0.533,0.553,0.522,0.547,1137684000
2002-01-25,0.539,0.559,0.533,0.546,817752000
2002-01-28,0.556,0.567,0.551,0.567,924288000
2002-01-29,0.568,0.57,0.53,0.539,1381932000
2002-01-30,0.542,0.546,0.529,0.545,1218456000
2002-01-31,0.552,0.557,0.53,0.548,973980000
2002-02-01,0.547,0.553,0.531,0.534,688272000
2002-02-04,0.533,0.546,0.508,0.509,1104864000
2002-02-05,0.506,0.51,0.484,0.504,1474620000
2002-02-06,0.518,0.526,0.507,0.517,1242528000
2002-02-07,0.517,0.517,0.498,0.5,964476000
2002-02-08,0.503,0.506,0.462,0.481,1871292000
2002-02-11,0.48,0.508,0.479,0.508,1249224000
2002-02-12,0.5,0.528,0.494,0.518,1216500000
2002-02-13,0.525,0.534,0.507,0.512,1230432000
2002-02-14,0.516,0.529,0.51,0.518,1225692000
2002-02-15,0.494,0.497,0.473,0.478,3988548000
2002-02-19,0.458,0.462,0.443,0.446,1972524000
2002-02-20,0.438,0.475,0.438,0.47,1838736000
2002-02-21,0.463,0.463,0.437,0.438,1531044000
2002-02-22,0.429,0.434,0.41,0.416,2585616000
2002-02-25,0.418,0.452,0.418,0.449,1599564000
2002-02-26,0.458,0.466,0.446,0.458,1902672000
2002-02-27,0.469,0.471,0.442,0.443,1723224000
2002-02-28,0.44,0.448,0.421,0.425,1585440000
2002-03-01,0.429,0.467,0.428,0.466,1311396000
2002-03-04,0.468,0.498,0.463,0.492,1484724000
2002-03-05,0.485,0.504,0.484,0.491,1379448000
2002-03-06,0.476,0.481,0.465,0.475,1446060000
2002-03-07,0.482,0.484,0.458,0.472,1346532000
2002-03-08,0.481,0.496,0.478,0.486,1270356000
2002-03-11,0.48,0.486,0.472,0.48,810540000
2002-03-12,0.465,0.468,0.452,0.455,1255032000
2002-03-13,0.451,0.454,0.445,0.447,1031616000
2002-03-14,0.443,0.443,0.421,0.422,1139460000
2002-03-15,0.425,0.44,0.417,0.44,1248288000
2002-03-18,0.448,0.457,0.435,0.44,1236996000
2002-03-19,0.443,0.444,0.428,0.43,846072000
2002-03-20,0.423,0.424,0.386,0.388,2292588000
