date,open,high,low,close,volume
2000-01-03,52.562,52.875,50.25,51.312,665800
2000-01-04,49.562,50.688,46.5,46.75,2358800
2000-01-05,44.375,46.625,43.25,45.062,1433100
2000-01-06,46.5,46.875,44.75,44.875,957100
2000-01-07,53.5,60,53.25,60,4356100
2000-01-10,58.5,60.312,58,59.938,2478400
2000-01-11,58.125,59.438,57.562,58.062,1257400
2000-01-12,59.938,61.125,59.375,60.5,735700
2000-01-13,63.312,64.5,61.562,63,1256100
2000-01-14,63.938,63.938,62,62.5,454000
2000-01-18,60.188,61.25,59.625,61,630800
2000-01-19,59.375,60.812,59.375,60.812,306700
2000-01-20,62.625,62.812,60.938,62,568600
2000-01-21,60.812,61.5,60.312,61.5,441200
2000-01-24,62,64.5,62,62.5,1249200
2000-01-25,64.562,65.5,63.875,64.688,1192900
2000-01-26,64.375,70,63.875,69,2387600
2000-01-27,67.75,69.438,67.062,68.562,1656100
2000-01-28,69,71.375,68.062,68.312,1735600
2000-01-31,65.625,65.812,63.812,65.188,609200
2000-02-01,65.5,66.625,65,66.438,422500
2000-02-02,64.562,65.688,63.938,65,856700
2000-02-03,65.562,66.375,64.875,66.25,656200
2000-02-04,67.438,69.875,67.438,68.875,438300
2000-02-07,68.812,68.875,66.875,68.562,488700
2000-02-08,71,73.562,70.938,71.875,728900
2000-02-09,73,73.875,72,72.375,771300
2000-02-10,70.688,71.438,69.375,70.875,419300
2000-02-11,71.875,72.125,68.5,69.25,744900
2000-02-14,68.25,69.812,68,69.625,447300
2000-02-15,67.75,68,66.375,67.625,847800
2000-02-16,66.812,68.75,66.812,68,473300
2000-02-17,71.125,72.438,70.75,71.312,792500
2000-02-18,72,72.438,70.25,70.688,282800
2000-02-22,72,72.875,71.312,72.25,508100
2000-02-23,73.375,74.375,71.375,73.312,591800
2000-02-24,74.625,75,71,72.812,793400
2000-02-25,71,72.5,70.125,70.562,429900
2000-02-28,69.625,71.312,69.109,71,335100
2000-02-29,69.562,71.312,68.625,71.312,377000
2000-03-01,71.188,72,70.812,71.5,321200
2000-03-02,71.75,73.25,71.5,72.375,420700
2000-03-03,73.875,75.375,73.625,74.938,715000
2000-03-06,81.5,82.312,80.688,81.562,753500
2000-03-07,83.25,83.75,81.625,81.938,475400
2000-03-08,81.938,81.938,78.938,81.25,331100
2000-03-09,84.875,84.938,81.625,83.5,511600
2000-03-10,85.438,85.938,83.375,83.938,615500
2000-03-13,78.875,81,77.875,79.938,423600
2000-03-14,80.062,80.5,77.062,77.438,671100
2000-03-15,75.25,75.438,71.5,72.438,1408900
2000-03-16,74,74.562,69.125,71.812,1639500
2000-03-17,70.688,73.875,70.688,73,614800
2000-03-20,77.5,78.688,75.625,76.312,764000
2000-03-21,75,75.938,73.5,75.25,633200
2000-03-22,75.25,76.688,74,76.688,733800
2000-03-23,73.625,74.25,72,72.812,574000
2000-03-24,72.438,74.938,72.25,74.438,520700
2000-03-27,74.875,76.562,74.5,75.5,469800
2000-03-28,75.312,76,72.062,72.125,1061200
2000-03-29,68.75,69.625,56,59,6785100
2000-03-30,60.938,62.312,57.25,58,4030400
2000-03-31,61.25,61.5,57.25,59.75,2882200
2000-04-03,58.625,58.625,52.875,54.5,1535200
2000-04-04,55.812,55.812,49,53.125,2754300
2000-04-05,52.312,57.75,52.25,55.375,1497500
2000-04-06,59.062,59.438,58,59.188,638100
2000-04-07,59.312,59.938,57.375,58.562,1197000
2000-04-10,56.5,56.688,53.812,54.062,927500
2000-04-11,52,54,51.875,53.875,982800
2000-04-12,54.375,54.875,50,50,1249400
2000-04-13,51.25,51.438,49.125,49.75,1384600
2000-04-14,47.25,49.062,45.125,45.938,1189600
2000-04-17,48.188,51.25,48.125,50.5,1917800
2000-04-18,51.125,51.188,47.812,49.812,1452600
2000-04-19,52.5,52.938,48.125,48.375,2668400
2000-04-20,47.5,48,43.125,44.438,4138900
2000-04-24,42,42.812,40.75,42.812,2245400
2000-04-25,46.875,48.75,45.438,48.75,2925000
2000-04-26,49,49.312,48,48.375,1128600
2000-04-27,46.75,48.375,46.75,48,895500
2000-04-28,48.938,49.25,48.438,49.125,791000
2000-05-01,49.375,51.5,49.375,51,555100
2000-05-02,51.438,51.812,49.938,50,1121900
2000-05-03,49.562,49.562,46.5,47.438,743000
2000-05-04,48.375,48.5,46.625,48.062,731100
2000-05-05,48.25,50.25,48.25,50.188,646200
2000-05-08,49.5,49.75,47.438,48.5,499200
2000-05-09,48.5,48.5,46.438,46.75,592800
2000-05-10,45.688,45.688,43,43.938,1082400
2000-05-11,44.562,45.312,43.375,45.312,895700
2000-05-12,46.5,46.875,45.688,46.125,850600
2000-05-15,45.688,45.938,44.875,45.625,1151100
2000-05-16,46.125,47.188,45.875,47.188,860300
2000-05-17,45.5,46.25,44.625,45.375,571900
2000-05-18,45.25,45.25,43.5,43.75,408600
2000-05-19,41.375,41.812,40.812,41.562,691000
2000-05-22,40.875,41.625,39.438,41.438,905300
2000-05-23,41.438,42.562,40.875,40.938,616500
2000-05-24,41.5,42.812,40.438,42.562,944600
2000-05-25,43.438,44.375,40.875,41.625,1645900
2000-05-26,42,42.688,41.312,42.062,546300
2000-05-30,42.562,44.125,42.562,44,510000
2000-05-31,43.562,44.688,42.75,42.875,515500
2000-06-01,44,46.5,43.812,46.188,636900
2000-06-02,50.25,51,48.375,48.5,800800
2000-06-05,48.125,49.375,47.875,49.375,521900
2000-06-06,49.5,49.5,47.375,47.562,1012400
2000-06-07,47.938,49.188,47.812,49.125,755300
2000-06-08,50.125,50.375,48.5,48.688,292800
2000-06-09,49.25,49.75,47.562,48,1463100
2000-06-12,47.812,47.812,46.625,46.75,423800
2000-06-13,46.625,46.875,45.812,46.75,849200
2000-06-14,49.125,50.188,48.75,48.812,1025200
