date,open,high,low,close,volume
2004-01-02,0.411,0.413,0.384,0.392,502306000
2004-01-05,0.389,0.406,0.387,0.399,252070000
2004-01-06,0.395,0.434,0.394,0.426,526330000
2004-01-07,0.431,0.447,0.425,0.445,684320000
2004-01-08,0.454,0.456,0.429,0.443,371784000
2004-01-09,0.434,0.458,0.432,0.443,330302000
2004-01-12,0.445,0.461,0.437,0.458,268576000
2004-01-13,0.46,0.468,0.453,0.467,329630000
2004-01-14,0.464,0.472,0.459,0.465,230706000
2004-01-15,0.464,0.468,0.454,0.463,160132000
2004-01-16,0.464,0.468,0.459,0.468,240758000
2004-01-20,0.47,0.494,0.466,0.484,409248000
2004-01-21,0.486,0.488,0.469,0.47,409150000
2004-01-22,0.541,0.566,0.523,0.555,1662346000
2004-01-23,0.554,0.562,0.536,0.554,545930000
2004-01-26,0.546,0.551,0.538,0.545,313068000
2004-01-27,0.543,0.568,0.535,0.537,670124000
2004-01-28,0.537,0.546,0.505,0.514,496118000
2004-01-29,0.521,0.522,0.491,0.505,563934000
2004-01-30,0.503,0.533,0.501,0.524,356440000
2004-02-02,0.53,0.538,0.516,0.52,320348000
2004-02-03,0.518,0.527,0.501,0.514,337442000
2004-02-04,0.509,0.515,0.496,0.498,273574000
2004-02-05,0.496,0.525,0.495,0.523,332486000
2004-02-06,0.524,0.549,0.518,0.547,315588000
2004-02-09,0.552,0.564,0.546,0.547,303324000
2004-02-10,0.553,0.553,0.515,0.52,642208000
2004-02-11,0.516,0.536,0.5,0.514,570612000
2004-02-12,0.52,0.541,0.504,0.533,396515000
2004-02-13,0.537,0.545,0.506,0.508,298480000
2004-02-17,0.516,0.517,0.493,0.504,219779000
2004-02-18,0.507,0.516,0.497,0.503,145733000
2004-02-19,0.51,0.514,0.484,0.488,179550000
2004-02-20,0.483,0.505,0.465,0.505,386253000
2004-02-23,0.484,0.512,0.483,0.5,422492000
2004-02-24,0.45,0.459,0.432,0.446,991746000
2004-02-25,0.444,0.45,0.437,0.444,272328000
2004-02-26,0.44,0.487,0.438,0.48,515823000
2004-02-27,0.486,0.5,0.472,0.491,349902000
2004-03-01,0.491,0.507,0.489,0.496,243908000
2004-03-02,0.496,0.502,0.491,0.492,157969000
2004-03-03,0.492,0.494,0.472,0.472,209104000
2004-03-04,0.473,0.475,0.464,0.467,170233000
2004-03-05,0.465,0.487,0.462,0.475,193578000
2004-03-08,0.473,0.48,0.454,0.457,135541000
2004-03-09,0.458,0.459,0.441,0.445,177317000
2004-03-10,0.443,0.455,0.436,0.437,137333000
2004-03-11,0.435,0.45,0.419,0.429,321265000
2004-03-12,0.434,0.441,0.429,0.44,142457000
2004-03-15,0.433,0.438,0.421,0.422,137480000
2004-03-16,0.423,0.431,0.408,0.415,226975000
2004-03-17,0.421,0.441,0.419,0.436,173768000
2004-03-18,0.435,0.448,0.431,0.441,108584000
2004-03-19,0.444,0.45,0.437,0.439,99547000
2004-03-22,0.429,0.434,0.417,0.418,109438000
2004-03-23,0.427,0.432,0.395,0.407,225428000
2004-03-24,0.407,0.414,0.396,0.405,90608000
2004-03-25,0.408,0.427,0.406,0.423,110663000
2004-03-26,0.424,0.425,0.412,0.414,111090000
2004-03-29,0.439,0.477,0.43,0.477,449393000
2004-03-30,0.475,0.498,0.469,0.491,280105000
2004-03-31,0.493,0.499,0.48,0.487,162743000
2004-04-01,0.516,0.517,0.481,0.505,385665000
2004-04-02,0.517,0.524,0.502,0.503,153349000
2004-04-05,0.501,0.521,0.497,0.51,115472000
2004-04-06,0.507,0.514,0.501,0.509,98329000
2004-04-07,0.511,0.519,0.5,0.509,86072000
2004-04-08,0.526,0.545,0.524,0.538,231441000
2004-04-12,0.542,0.552,0.529,0.539,145964000
2004-04-13,0.543,0.548,0.515,0.523,154021000
2004-04-14,0.514,0.522,0.511,0.521,103418000
2004-04-15,0.523,0.542,0.512,0.529,308000000
2004-04-16,0.465,0.469,0.417,0.439,1043217000
2004-04-19,0.428,0.443,0.386,0.438,588630000
2004-04-20,0.442,0.446,0.414,0.416,191961000
2004-04-21,0.42,0.425,0.403,0.414,212583000
2004-04-22,0.413,0.434,0.41,0.425,141666000
2004-04-23,0.43,0.432,0.415,0.423,80584000
2004-04-26,0.422,0.428,0.408,0.409,105826000
2004-04-27,0.411,0.414,0.396,0.401,117768000
2004-04-28,0.4,0.41,0.39,0.395,142009000
2004-04-29,0.389,0.395,0.369,0.372,224840000
2004-04-30,0.376,0.379,0.36,0.362,198954000
2004-05-03,0.361,0.386,0.361,0.384,220997000
2004-05-04,0.381,0.399,0.372,0.385,214179000
2004-05-05,0.388,0.414,0.385,0.411,225330000
2004-05-06,0.411,0.411,0.39,0.403,142177000
2004-05-07,0.396,0.406,0.39,0.391,118279000
2004-05-10,0.378,0.392,0.373,0.386,188825000
2004-05-11,0.409,0.422,0.406,0.42,239274000
2004-05-12,0.42,0.424,0.403,0.422,168217000
2004-05-13,0.423,0.439,0.421,0.438,141533000
2004-05-14,0.441,0.446,0.426,0.439,150402000
2004-05-17,0.424,0.438,0.42,0.436,123249000
2004-05-18,0.443,0.447,0.426,0.443,154903000
2004-05-19,0.451,0.467,0.443,0.448,137620000
2004-05-20,0.45,0.453,0.436,0.442,87633000
2004-05-21,0.442,0.448,0.437,0.447,78960000
2004-05-24,0.447,0.456,0.444,0.456,80052000
2004-05-25,0.456,0.461,0.447,0.459,113778000
2004-05-26,0.455,0.465,0.455,0.465,69076000
2004-05-27,0.475,0.475,0.465,0.474,118524000
2004-05-28,0.471,0.474,0.462,0.47,81109000
2004-06-01,0.463,0.471,0.457,0.466,129850000
2004-06-02,0.47,0.471,0.461,0.464,69048000
2004-06-03,0.463,0.463,0.442,0.445,92785000
2004-06-04,0.448,0.455,0.446,0.449,47250000
2004-06-07,0.453,0.461,0.45,0.459,81130000
2004-06-08,0.457,0.464,0.455,0.457,36575000
2004-06-09,0.451,0.452,0.437,0.447,151305000
2004-06-10,0.449,0.452,0.44,0.446,38941000
2004-06-14,0.436,0.436,0.408,0.422,161525000
2004-06-15,0.425,0.436,0.423,0.425,72002000
2004-06-16,0.424,0.446,0.424,0.432,89579000
2004-06-17,0.432,0.433,0.423,0.426,82642000
2004-06-18,0.427,0.431,0.419,0.422,78582000
2004-06-21,0.422,0.424,0.411,0.413,79590000
2004-06-22,0.418,0.418,0.405,0.414,117551000
2004-06-23,0.413,0.44,0.413,0.438,166810000
2004-06-24,0.447,0.456,0.444,0.444,185143000
2004-06-25,0.447,0.501,0.445,0.457,157563000
2004-06-28,0.461,0.5,0.457,0.486,302736000
2004-06-29,0.498,0.504,0.487,0.488,152257000
2004-06-30,0.508,0.522,0.498,0.514,295113000
2004-07-01,0.51,0.515,0.506,0.514,230762000
2004-07-02,0.497,0.497,0.456,0.462,336035000
2004-07-06,0.452,0.485,0.449,0.479,157325000
2004-07-07,0.479,0.498,0.468,0.476,132629000
2004-07-08,0.464,0.477,0.454,0.456,151522000
2004-07-09,0.462,0.478,0.461,0.478,66346000
2004-07-12,0.476,0.478,0.457,0.465,72289000
2004-07-13,0.468,0.476,0.454,0.455,105084000
2004-07-14,0.453,0.47,0.436,0.458,95249000
2004-07-15,0.461,0.471,0.453,0.457,314482000
2004-07-16,0.383,0.387,0.327,0.329,1838361000
2004-07-19,0.313,0.316,0.284,0.288,840280000
2004-07-20,0.296,0.317,0.289,0.308,365904000
2004-07-21,0.306,0.307,0.285,0.286,184359000
2004-07-22,0.282,0.294,0.28,0.289,177184000
2004-07-23,0.288,0.293,0.284,0.29,145971000
2004-07-26,0.288,0.289,0.264,0.272,194572000
2004-07-27,0.274,0.293,0.273,0.291,143073000
2004-07-28,0.293,0.293,0.275,0.289,109697000
2004-07-29,0.292,0.296,0.282,0.29,73850000
2004-07-30,0.287,0.296,0.287,0.293,50533000
2004-08-02,0.283,0.291,0.28,0.288,100226000
2004-08-03,0.289,0.29,0.275,0.275,72121000
2004-08-04,0.272,0.273,0.243,0.25,369880000
2004-08-05,0.251,0.258,0.242,0.244,210882000
2004-08-06,0.238,0.246,0.218,0.242,358967000
2004-08-09,0.238,0.245,0.222,0.235,219037000
2004-08-10,0.239,0.251,0.235,0.245,183169000
2004-08-11,0.233,0.241,0.227,0.23,188636000
2004-08-12,0.227,0.228,0.219,0.22,139496000
2004-08-13,0.219,0.221,0.209,0.214,152852000
2004-08-16,0.212,0.223,0.21,0.22,80353000
2004-08-17,0.224,0.238,0.221,0.222,96873000
2004-08-18,0.224,0.228,0.219,0.225,115157000
2004-08-19,0.227,0.231,0.22,0.226,59696000
2004-08-20,0.226,0.229,0.222,0.226,76524000
2004-08-23,0.231,0.232,0.224,0.227,59514000
2004-08-24,0.228,0.23,0.218,0.221,72205000
2004-08-25,0.222,0.228,0.218,0.224,75236000
2004-08-26,0.223,0.224,0.211,0.218,67690000
2004-08-27,0.22,0.22,0.215,0.216,24976000
2004-08-30,0.215,0.216,0.201,0.206,84833000
2004-08-31,0.205,0.209,0.198,0.199,98070000
2004-09-01,0.2,0.207,0.199,0.204,124432000
2004-09-02,0.201,0.216,0.198,0.212,153573000
2004-09-03,0.213,0.214,0.203,0.205,144333000
2004-09-07,0.239,0.245,0.217,0.22,928851000
2004-09-08,0.223,0.223,0.212,0.215,143080000
2004-09-09,0.214,0.221,0.214,0.215,65681000
2004-09-10,0.216,0.22,0.211,0.213,106743000
2004-09-13,0.216,0.228,0.215,0.226,120981000
2004-09-14,0.229,0.234,0.221,0.233,119910000
2004-09-15,0.234,0.24,0.226,0.227,130634000
