date,open,high,low,close,volume
1988-01-04,0.922,0.953,0.906,0.93,1833600
1988-01-05,0.938,0.984,0.938,0.965,5766400
1988-01-06,0.955,0.955,0.891,0.906,8137600
1988-01-07,0.906,0.906,0.844,0.906,4720000
1988-01-08,0.906,0.906,0.789,0.836,4825600
1988-01-11,0.836,0.836,0.766,0.812,6640000
1988-01-12,0.812,0.906,0.773,0.898,11932800
1988-01-13,0.898,0.906,0.844,0.898,4620800
1988-01-14,0.898,0.93,0.852,0.883,2630400
1988-01-15,0.883,0.922,0.875,0.922,9046400
1988-01-18,0.914,0.914,0.887,0.893,3481600
1988-01-19,0.893,0.906,0.875,0.883,4950400
1988-01-20,0.875,0.875,0.75,0.777,8576000
1988-01-21,0.777,0.805,0.742,0.781,7145600
1988-01-22,0.781,0.805,0.766,0.797,4380800
1988-01-25,0.797,0.828,0.781,0.828,1254400
1988-01-26,0.82,0.82,0.799,0.805,1603200
1988-01-27,0.805,0.836,0.805,0.805,2723200
1988-01-28,0.805,0.82,0.805,0.82,256000
1988-01-29,0.82,0.836,0.812,0.828,2684800
1988-02-01,0.828,0.836,0.812,0.82,5568000
1988-02-02,0.812,0.812,0.797,0.812,3139200
1988-02-03,0.805,0.805,0.75,0.766,6550400
1988-02-04,0.766,0.766,0.742,0.75,2576000
1988-02-05,0.75,0.773,0.742,0.762,1993600
1988-02-08,0.762,0.766,0.734,0.75,4406400
1988-02-09,0.75,0.805,0.734,0.805,7705600
1988-02-10,0.805,0.828,0.797,0.828,3580800
1988-02-11,0.828,0.828,0.781,0.797,2406400
1988-02-12,0.797,0.812,0.797,0.812,1510400
1988-02-16,0.812,0.828,0.797,0.812,1734400
1988-02-17,0.812,0.828,0.805,0.805,2012800
1988-02-18,0.805,0.859,0.805,0.844,7484800
1988-02-19,0.852,0.898,0.852,0.891,2499200
1988-02-22,0.891,0.93,0.867,0.914,2652800
1988-02-23,0.914,0.938,0.914,0.93,4892800
1988-02-24,0.93,0.961,0.914,0.938,4835200
1988-02-25,0.941,0.961,0.941,0.945,5779200
1988-02-26,0.945,0.953,0.875,0.898,7846400
1988-02-29,0.898,0.93,0.883,0.906,2236800
1988-03-01,0.922,0.945,0.922,0.938,3811200
1988-03-02,0.922,0.992,0.922,0.969,3280000
1988-03-03,0.977,1.023,0.969,1.008,6262400
1988-03-04,0.992,1.016,0.969,1,2304000
1988-03-07,1,1.008,0.992,1,4032000
1988-03-08,0.992,1.023,0.992,1.023,3785600
1988-03-09,1.008,1.039,1.008,1.031,2268800
1988-03-10,1.023,1.039,0.969,0.969,4115200
1988-03-11,0.969,0.992,0.938,0.961,2396800
1988-03-14,0.969,1.008,0.961,1,1574400
