date,open,high,low,close,volume
2012-01-03,54.28,54.65,54.13,54.43,2083400
2012-01-04,54.67,54.73,53.89,54.15,1973000
2012-01-05,53.91,54.14,53.67,54.08,2471000
2012-01-06,53.76,54.05,53.3,54,1557100
2012-01-09,54.57,54.8,54.26,54.75,1947500
2012-01-10,53.42,53.98,53.39,53.87,2576100
2012-01-11,52.93,53.51,52.78,53.4,4208200
2012-01-12,53.22,53.5,52.95,53.25,2380400
2012-01-13,54.64,54.8,54.01,54.56,5496900
2012-01-17,55.73,55.99,55.48,55.67,3106500
2012-01-18,56.71,57.2,56.56,57.1,2356500
2012-01-19,56.61,57.15,56.45,57.05,1837400
2012-01-20,56.91,57.12,56.82,57.01,1339300
2012-01-23,57.53,57.99,57.37,57.76,1799000
2012-01-24,57.58,58.33,57.54,58.06,1970700
2012-01-25,57.76,58.63,57.34,58.48,2364700
2012-01-26,59.74,59.93,59.24,59.29,2182100
2012-01-27,59.82,60.58,59.79,60.35,2272500
2012-01-30,59.87,60.44,59.69,60.35,1254900
2012-01-31,60.76,60.79,60.25,60.48,1047600
2012-02-01,61.39,61.97,61.33,61.45,1559800
2012-02-02,62.06,62.53,61.79,61.92,1293300
2012-02-03,63.02,63.29,62.67,63.17,1811900
2012-02-06,62.92,63.15,62.68,62.99,672300
2012-02-07,63.49,63.73,62.88,63.6,970400
2012-02-08,63.08,63.6,62.98,63.53,904400
2012-02-09,63.4,64.26,63.25,63.85,2939200
2012-02-10,62.78,63.21,62.61,62.9,1288500
2012-02-13,63.26,63.39,63.08,63.33,1245900
2012-02-14,63.67,63.84,63.32,63.64,1286400
2012-02-15,63.86,63.89,63.1,63.21,886300
2012-02-16,63.58,64.63,63.4,64.63,895400
2012-02-17,64.94,64.98,64.26,64.44,616500
2012-02-21,65.59,65.98,65.11,65.37,1337100
2012-02-22,65.38,65.94,65.17,65.65,1926200
2012-02-23,66,66.68,65.27,66.64,1588400
2012-02-24,67.75,67.83,67.47,67.77,2144400
2012-02-27,66.11,67.32,66.04,67.01,914400
2012-02-28,67.43,68.21,67.26,68.15,947900
2012-02-29,67.97,68.5,67.34,67.61,1205500
2012-03-01,67.83,68.34,67.62,68.27,1663300
2012-03-02,67.81,67.85,67.36,67.66,1006500
2012-03-05,68.32,68.35,67.63,68.1,1309900
2012-03-06,67.15,67.28,66.06,66.38,2428100
2012-03-07,66.49,66.92,66.34,66.68,1069100
2012-03-08,67.85,69.04,67.73,68.8,1436900
2012-03-09,68.69,69.13,68.54,68.99,1006200
2012-03-12,68.64,69.5,68.54,69.39,719200
2012-03-13,69.64,70.77,69.62,70.77,2876700
2012-03-14,70.47,70.8,70.12,70.43,2908700
2012-03-15,70.56,71.55,70.5,71.46,2085400
2012-03-16,71.74,72.1,71.62,72,1402200
2012-03-19,71.92,72.52,71.56,72.31,1144200
2012-03-20,71.31,71.84,71.17,71.65,1942500
2012-03-21,71.3,71.56,71.04,71.24,1725100
2012-03-22,70.26,71.04,70.21,70.55,1771200
2012-03-23,70.22,70.54,69.79,70.38,1221900
2012-03-26,70.76,71.25,70.71,71.24,2349700
2012-03-27,71.22,71.26,70.56,70.58,855400
2012-03-28,71.17,71.18,69.86,70.21,1708800
2012-03-29,69.16,69.95,68.98,69.85,1333200
2012-03-30,69.89,70.17,69.65,69.82,2315300
