date,open,high,low,close,volume
1995-01-03,1.225,1.233,1.183,1.217,8979000
1995-01-04,1.242,1.25,1.2,1.233,25413000
1995-01-05,1.242,1.258,1.192,1.192,22284000
1995-01-06,1.192,1.217,1.175,1.183,15186000
1995-01-09,1.2,1.217,1.183,1.196,16545000
1995-01-10,1.225,1.296,1.217,1.281,26154000
1995-01-11,1.317,1.35,1.3,1.3,37521000
1995-01-12,1.292,1.317,1.275,1.304,9225000
1995-01-13,1.35,1.417,1.333,1.408,28386000
1995-01-16,1.413,1.483,1.396,1.467,22509000
1995-01-17,1.417,1.475,1.383,1.454,42846000
1995-01-18,1.467,1.477,1.408,1.442,14184000
1995-01-19,1.425,1.433,1.35,1.371,20547000
1995-01-20,1.358,1.375,1.317,1.358,14106000
1995-01-23,1.342,1.375,1.329,1.371,17586000
1995-01-24,1.371,1.417,1.358,1.408,9009000
1995-01-25,1.375,1.392,1.35,1.354,25845000
1995-01-26,1.367,1.367,1.283,1.283,14271000
1995-01-27,1.308,1.317,1.283,1.308,19647000
1995-01-30,1.317,1.317,1.208,1.212,25290000
1995-01-31,1.242,1.258,1.192,1.25,27414000
1995-02-01,1.25,1.317,1.25,1.292,18267000
1995-02-02,1.292,1.333,1.292,1.317,13311000
1995-02-03,1.342,1.375,1.337,1.358,15780000
1995-02-06,1.358,1.417,1.358,1.396,16653000
1995-02-07,1.4,1.417,1.367,1.392,16374000
1995-02-08,1.4,1.417,1.392,1.417,7221000
1995-02-09,1.425,1.467,1.408,1.421,15099000
1995-02-10,1.425,1.45,1.408,1.433,9645000
1995-02-13,1.425,1.467,1.417,1.438,7965000
1995-02-14,1.433,1.492,1.433,1.475,23025000
1995-02-15,1.508,1.517,1.475,1.483,22395000
1995-02-16,1.475,1.483,1.417,1.433,12318000
1995-02-17,1.425,1.425,1.333,1.35,22329000
1995-02-21,1.35,1.354,1.292,1.308,17205000
1995-02-22,1.3,1.367,1.3,1.35,15645000
1995-02-23,1.367,1.383,1.342,1.354,17466000
1995-02-24,1.35,1.35,1.308,1.325,11223000
1995-02-27,1.308,1.325,1.263,1.267,21222000
1995-02-28,1.283,1.333,1.258,1.333,23814000
1995-03-01,1.358,1.375,1.283,1.283,15588000
1995-03-02,1.3,1.325,1.283,1.3,28323000
1995-03-03,1.308,1.35,1.283,1.333,22677000
1995-03-06,1.333,1.417,1.317,1.408,28491000
1995-03-07,1.408,1.417,1.375,1.392,18102000
1995-03-08,1.408,1.425,1.358,1.375,17685000
1995-03-09,1.392,1.4,1.325,1.367,15003000
1995-03-10,1.367,1.383,1.358,1.383,4992000
1995-03-13,1.383,1.425,1.383,1.4,11751000
1995-03-14,1.425,1.442,1.383,1.388,8412000
1995-03-15,1.392,1.408,1.367,1.392,10167000
1995-03-16,1.308,1.358,1.3,1.325,72006000
1995-03-17,1.333,1.35,1.325,1.342,24930000
1995-03-20,1.342,1.375,1.325,1.367,21561000
1995-03-21,1.375,1.5,1.375,1.467,69855000
1995-03-22,1.5,1.525,1.475,1.513,43230000
1995-03-23,1.517,1.6,1.5,1.583,45444000
1995-03-24,1.608,1.617,1.583,1.6,36561000
1995-03-27,1.617,1.708,1.6,1.688,39315000
1995-03-28,1.717,1.717,1.617,1.625,32226000
1995-03-29,1.617,1.625,1.55,1.575,20745000
1995-03-30,1.592,1.6,1.508,1.525,31509000
1995-03-31,1.5,1.517,1.458,1.492,35187000
1995-04-03,1.5,1.517,1.475,1.5,13995000
1995-04-04,1.5,1.525,1.442,1.442,17103000
1995-04-05,1.425,1.483,1.417,1.483,32088000
1995-04-06,1.5,1.508,1.433,1.442,14673000
1995-04-07,1.45,1.525,1.427,1.525,25743000
1995-04-10,1.525,1.6,1.525,1.575,25752000
1995-04-11,1.608,1.608,1.558,1.567,10965000
1995-04-12,1.575,1.633,1.567,1.604,11451000
1995-04-13,1.617,1.658,1.608,1.612,11901000
1995-04-17,1.625,1.633,1.533,1.55,14829000
1995-04-18,1.558,1.575,1.517,1.542,17616000
1995-04-19,1.583,1.583,1.45,1.529,41763000
1995-04-20,1.55,1.567,1.483,1.533,21690000
1995-04-21,1.525,1.592,1.508,1.575,20589000
1995-04-24,1.575,1.625,1.558,1.604,20991000
1995-04-25,1.612,1.633,1.592,1.596,14124000
1995-04-26,1.575,1.638,1.542,1.633,22119000
1995-04-27,1.642,1.658,1.625,1.625,20925000
1995-04-28,1.633,1.692,1.617,1.683,26760000
1995-05-01,1.675,1.725,1.675,1.692,20880000
1995-05-02,1.683,1.696,1.658,1.663,15735000
1995-05-03,1.675,1.683,1.642,1.675,11274000
1995-05-04,1.692,1.742,1.683,1.696,18579000
1995-05-05,1.725,1.729,1.683,1.7,17697000
1995-05-08,1.7,1.758,1.675,1.758,11520000
1995-05-09,1.75,1.758,1.708,1.725,16896000
1995-05-10,1.767,1.767,1.683,1.694,20343000
1995-05-11,1.692,1.758,1.667,1.717,19764000
1995-05-12,1.717,1.792,1.708,1.758,22134000
1995-05-15,1.783,1.804,1.758,1.771,14457000
1995-05-16,1.758,1.842,1.742,1.829,29382000
1995-05-17,1.95,1.958,1.908,1.946,62010000
1995-05-18,1.967,2.025,1.9,1.9,31125000
1995-05-19,1.867,1.925,1.833,1.888,33393000
1995-05-22,1.925,2.008,1.908,2.008,27231000
1995-05-23,2.025,2.042,1.983,1.987,37299000
1995-05-24,2.033,2.033,1.925,1.987,28074000
1995-05-25,1.983,1.983,1.917,1.958,15537000
1995-05-26,1.958,1.958,1.908,1.933,12246000
